URN,Rating,Inspection Date
100182,Good,20061114
100183,Good,20180509
100183,Requires Improvement,20160303
100183,Good,20111012
100183,Good,20090114
100190,Good,20181211
100190,Good,20140430
100190,Good,20100623
100190,Good,20070522
100192,Inadequate,20180321
100192,Good,20131120
100192,Satisfactory,20111116
100192,Satisfactory,20090317
100192,Inadequate,20071128
100193,Outstanding,20150311
100193,Outstanding,20100112
100193,Outstanding,20070110
100197,Inadequate,20190205
100197,Outstanding,20121017
100197,Good,20080708
100203,Good,20071127
100204,Good,20190501
100204,Requires Improvement,20170110
100204,Requires Improvement,20141125
100204,Good,20111116
100204,Satisfactory,20090211
100204,Satisfactory,20060508
100218,Good,20160127
100218,Requires Improvement,20131010
100218,Good,20090928
100218,Good,20061018
100221,Good,20140514
100221,Good,20110111
100221,Good,20080701
100221,Inadequate,20070328
100223,Requires Improvement,20191001
100223,Good,20131022
100223,Satisfactory,20120305
100223,Satisfactory,20091208
100223,Inadequate,20080605
100224,Requires Improvement,20180130
100224,Good,20121213
100224,Satisfactory,20100202
100224,Satisfactory,20070524
100225,Good,20130227
100225,Satisfactory,20100428
100225,Satisfactory,20070705
100229,Good,20130619
100229,Outstanding,20090305
100229,Good,20060509
100230,Outstanding,20150120
100230,Outstanding,20110315
100230,Good,20081209
100230,Inadequate,20070326
100231,Good,20121115
100231,Satisfactory,20101209
100231,Inadequate,20091014
100231,Outstanding,20060918
100232,Outstanding,20170613
100232,Good,20130625
100232,Inadequate,20120430
100232,Good,20090701
100232,Satisfactory,20060206
100234,Outstanding,20140227
100234,Good,20080918
100235,Outstanding,20110705
100235,Good,20080512
100236,Good,20160608
100236,Requires Improvement,20140130
100236,Good,20090708
100236,Satisfactory,20060504
100239,Good,20130227
100239,Satisfactory,20110302
100239,Satisfactory,20071112
100240,Outstanding,20190521
100240,Good,20141118
100240,Good,20100317
100240,Good,20070607
100241,Outstanding,20190326
100241,Good,20130319
100241,Satisfactory,20110316
100241,Good,20071211
100242,Outstanding,20191016
100242,Good,20140227
100242,Good,20100915
100242,Satisfactory,20080206
100242,Inadequate,20061207
100243,Requires Improvement,20200205
100243,Requires Improvement,20171205
100243,Good,20130307
100243,Satisfactory,20110627
100243,Satisfactory,20080703
100244,Good,20131205
100244,Satisfactory,20120306
100244,Good,20090622
100244,Satisfactory,20060621
100245,Outstanding,20130501
100245,Satisfactory,20091012
100245,Satisfactory,20061211
100248,Outstanding,20120614
100248,Outstanding,20081105
100250,Outstanding,20111109
100250,Good,20080513
100251,Good,20150702
100251,Good,20100304
100251,Good,20070606
100252,Good,20120314
100252,Good,20070626
100253,Outstanding,20071123
100254,Good,20130605
100254,Good,20100301
100254,Satisfactory,20070214
100254,Inadequate,20051208
100255,Good,20141211
100255,Good,20110510
100255,Good,20080612
100256,Good,20131002
100256,Satisfactory,20110919
100256,Good,20090430
100256,Good,20051207
100257,Outstanding,20150319
100257,Outstanding,20080310
100258,Outstanding,20120222
100258,Good,20091201
100258,Inadequate,20080312
100259,Good,20150416
100259,Outstanding,20080207
100260,Good,20120425
100260,Outstanding,20090507
100260,Good,20060614
100261,Good,20130702
100261,Good,20100203
100261,Satisfactory,20070124
100263,Outstanding,20130425
100263,Good,20080117
100263,Good,20051114
100264,Outstanding,20121122
100264,Good,20080514
100266,Outstanding,20171003
100266,Good,20130425
100266,Satisfactory,20110608
100266,Satisfactory,20080305
100267,Good,20130912
100267,Satisfactory,20110927
100267,Good,20090623
100267,Satisfactory,20060607
100268,Good,20130425
100268,Good,20091013
100268,Satisfactory,20060914
100269,Outstanding,20170131
100269,Good,20121107
100269,Satisfactory,20091015
100269,Satisfactory,20061121
100270,Good,20120313
100270,Good,20060920
100271,Good,20130502
100271,Outstanding,20061129
100274,Good,20110317
100274,Satisfactory,20080429
100275,Good,20170606
100275,Requires Improvement,20150520
100275,Good,20120124
100275,Satisfactory,20090518
100275,Good,20051130
100277,Good,20171003
100277,Good,20130312
100277,Satisfactory,20100512
100277,Satisfactory,20061204
100279,Good,20131023
100279,Good,20110512
100279,Outstanding,20071016
100282,Good,20120123
100282,Good,20090114
100282,Good,20051103
100284,Good,20130320
100284,Satisfactory,20090923
100284,Good,20060920
100285,Good,20170117
100285,Good,20130131
100285,Satisfactory,20110308
100285,Good,20080109
100287,Requires Improvement,20191105
100287,Requires Improvement,20181106
100287,Inadequate,20170516
100287,Good,20101130
100287,Good,20071113
100289,Inadequate,20190122
100289,Inadequate,20170912
100289,Inadequate,20141105
100289,Satisfactory,20110705
100289,Inadequate,20080318
100291,Inadequate,20191210
100291,Inadequate,20180612
100291,Good,20120207
100291,Satisfactory,20080916
100293,Requires Improvement,20181106
100293,Inadequate,20150602
100293,Good,20120207
100293,Good,20081125
100294,Inadequate,20180206
100294,Good,20141104
100294,Satisfactory,20101018
100294,Inadequate,20071017
100295,Good,20200204
100295,Good,20170425
100295,Good,20131015
100295,Good,20100308
100295,Good,20070619
100296,Inadequate,20191112
100296,Inadequate,20180109
100296,Inadequate,20140610
100296,Satisfactory,20080115
100298,Inadequate,20180515
100298,Inadequate,20150623
100298,Good,20080313
100299,Inadequate,20190122
100299,Inadequate,20170613
100299,Inadequate,20141118
100299,Good,20110712
100299,Inadequate,20080305
100300,Inadequate,20190129
100300,Inadequate,20160921
100300,Good,20101201
100300,Good,20070308
100301,Inadequate,20190515
100301,Requires Improvement,20171128
100301,Good,20130204
100301,Good,20070307
100303,Good,20180501
100303,Good,20080117
100307,Outstanding,20180717
100307,Outstanding,20140306
100307,Outstanding,20081119
100311,Outstanding,20140611
100311,Good,20110309
100311,Satisfactory,20080110
100312,Good,20140703
100312,Good,20110628
100312,Good,20080129
100321,Good,20111011
100321,Good,20080929
100321,Good,20060427
100322,Good,20110926
100322,Good,20081022
100324,Outstanding,20090127
100324,Good,20051213
100326,Outstanding,20130228
100326,Satisfactory,20100114
100326,Good,20070322
100328,Good,20170426
100328,Requires Improvement,20150326
100328,Good,20100510
100328,Good,20070618
100331,Good,20120913
100331,Satisfactory,20101207
100331,Satisfactory,20080303
100334,Requires Improvement,20191204
100334,Outstanding,20130925
100334,Good,20080918
100335,Good,20131114
100335,Good,20101103
100335,Good,20071127
100338,Good,20160426
100338,Requires Improvement,20131024
100338,Good,20081210
100338,Good,20050928
100340,Good,20130117
100340,Good,20080130
100341,Good,20130501
100341,Good,20081125
100344,Good,20110623
100344,Satisfactory,20080618
100345,Good,20150923
100345,Requires Improvement,20130924
100345,Good,20081008
100346,Outstanding,20070629
100347,Outstanding,20070109
100349,Good,20121204
100349,Satisfactory,20110712
100349,Good,20080317
100350,Good,20141105
100350,Good,20100610
100350,Good,20070626
100351,Outstanding,20150428
100351,Requires Improvement,20130418
100351,Good,20081209
100352,Outstanding,20170316
100352,Good,20120529
100352,Outstanding,20071123
100353,Outstanding,20110505
100353,Good,20080117
100354,Outstanding,20140327
100354,Good,20090121
100354,Good,20051207
100355,Outstanding,20080522
100357,Good,20131211
100357,Good,20081118
100357,Satisfactory,20051017
100371,Outstanding,20180320
100371,Outstanding,20111012
100371,Good,20080610
100372,Requires Improvement,20190625
100372,Requires Improvement,20170912
100372,Inadequate,20140513
100372,Good,20110208
100372,Good,20080114
100374,Good,20110119
100374,Good,20071108
100375,Outstanding,20171121
100375,Good,20070125
100376,Good,20181211
100376,Inadequate,20170704
100376,Good,20140923
100378,Outstanding,20141015
100378,Outstanding,20100310
100378,Outstanding,20070307
100379,Outstanding,20190521
100379,Good,20140618
100379,Outstanding,20110524
100379,Good,20071004
100381,Outstanding,20141211
100381,Outstanding,20111004
100381,Good,20090622
100381,Good,20060627
100382,Good,20150513
100382,Requires Improvement,20130509
100382,Outstanding,20100715
100382,Good,20070308
100397,Outstanding,20170503
100397,Good,20120228
100397,Satisfactory,20090611
100397,Satisfactory,20060704
100401,Good,20170425
100401,Requires Improvement,20150310
100401,Inadequate,20130917
100401,Satisfactory,20120208
100401,Good,20090630
100401,Good,20060523
100402,Good,20160511
100402,Requires Improvement,20140305
100402,Good,20110614
100402,Good,20080702
100403,Good,20121009
100403,Good,20070913
100405,Outstanding,20110201
100405,Good,20080430
100406,Outstanding,20081113
100406,Outstanding,20051004
100407,Good,20131204
100407,Good,20081125
100407,Satisfactory,20051003
100408,Good,20140305
100408,Good,20120313
100408,Good,20090623
100408,Good,20051103
100411,Good,20120523
100411,Good,20071106
100415,Good,20160315
100415,Requires Improvement,20131217
100415,Satisfactory,20111003
100415,Satisfactory,20090309
100415,Satisfactory,20051102
100418,Good,20111103
100418,Good,20090702
100418,Satisfactory,20060522
100422,Good,20190509
100422,Good,20150604
100422,Requires Improvement,20130627
100422,Good,20091013
100422,Satisfactory,20061018
100425,Good,20170321
100425,Requires Improvement,20150128
100425,Good,20100322
100425,Good,20070109
100426,Good,20111013
100426,Good,20070514
100428,Good,20140311
100428,Good,20101013
100428,Satisfactory,20070910
100429,Outstanding,20090707
100429,Outstanding,20060628
100430,Good,20130306
100430,Good,20071002
100431,Good,20140508
100431,Outstanding,20110707
100431,Satisfactory,20080710
100432,Good,20120424
100432,Good,20081021
100434,Requires Improvement,20190129
100434,Good,20131015
100434,Satisfactory,20120125
100434,Satisfactory,20081105
100435,Inadequate,20161129
100435,Good,20120307
100435,Good,20090318
100435,Good,20051109
100436,Inadequate,20161130
100436,Good,20111115
100436,Good,20090113
100436,Satisfactory,20060517
100437,Good,20130313
100437,Outstanding,20090512
100437,Good,20060523
100438,Good,20141023
100438,Outstanding,20100225
100438,Good,20070427
100439,Good,20120208
100439,Good,20081014
100440,Outstanding,20140327
100440,Good,20090127
100440,Good,20051123
100441,Outstanding,20090331
100441,Good,20051103
100442,Good,20141126
100442,Good,20100525
100442,Good,20070321
100443,Good,20131128
100443,Outstanding,20090114
100443,Outstanding,20060516
100444,Good,20150507
100444,Requires Improvement,20130508
100444,Good,20091124
100444,Outstanding,20070301
100446,Good,20120912
100446,Satisfactory,20110623
100446,Satisfactory,20080507
100447,Good,20150226
100447,Outstanding,20070131
100448,Good,20160413
100448,Requires Improvement,20130718
100448,Outstanding,20080611
100449,Good,20140702
100449,Good,20090701
100449,Good,20060626
100450,Good,20141210
100450,Good,20100629
100450,Outstanding,20070523
100451,Good,20181016
100451,Good,20141002
100451,Good,20100518
100451,Good,20070228
100452,Inadequate,20161213
100452,Outstanding,20100526
100452,Good,20070129
100453,Requires Improvement,20190514
100453,Requires Improvement,20170110
100453,Good,20130516
100453,Satisfactory,20100203
100453,Satisfactory,20061130
100455,Outstanding,20161004
100455,Good,20120118
100455,Good,20090318
100457,Outstanding,20141216
100457,Outstanding,20080917
100458,Outstanding,20150203
100458,Good,20101117
100458,Good,20060920
100459,Requires Improvement,20181106
100459,Outstanding,20120306
100459,Good,20061107
100462,Outstanding,20180220
100462,Good,20150310
100462,Good,20111109
100462,Satisfactory,20080702
100463,Outstanding,20120626
100463,Good,20090204
100467,Outstanding,20141120
100467,Outstanding,20100614
100467,Outstanding,20070704
100469,Outstanding,20170307
100469,Outstanding,20121205
100469,Good,20091012
100469,Good,20070606
100477,Outstanding,20150325
100477,Requires Improvement,20130424
100477,Good,20100614
100477,Good,20070124
100478,Outstanding,20070625
100479,Outstanding,20120711
100479,Outstanding,20090507
100479,Good,20070313
100479,Inadequate,20060118
100480,Outstanding,20080604
100481,Outstanding,20190212
100481,Good,20131119
100481,Satisfactory,20111122
100481,Satisfactory,20090512
100481,Satisfactory,20060607
100482,Outstanding,20091021
100482,Good,20070330
100483,Good,20140925
100483,Good,20110309
100483,Good,20080428
100485,Good,20141216
100485,Good,20110614
100485,Satisfactory,20071211
100486,Good,20120125
100486,Good,20090617
100486,Satisfactory,20060126
100487,Good,20120927
100487,Satisfactory,20100304
100487,Good,20070703
100488,Outstanding,20090519
100488,Outstanding,20060706
100489,Outstanding,20130611
100489,Outstanding,20090120
100489,Outstanding,20060206
100490,Good,20121122
100490,Good,20080123
100491,Outstanding,20100701
100491,Good,20070315
100492,Outstanding,20141104
100492,Good,20091124
100492,Good,20061107
100493,Outstanding,20070214
100494,Good,20180109
100494,Requires Improvement,20160112
100494,Outstanding,20100511
100494,Outstanding,20070430
100495,Good,20140618
100495,Satisfactory,20120510
100495,Good,20080206
100496,Outstanding,20131126
100496,Satisfactory,20120424
100496,Good,20080122
100497,Good,20141112
100497,Outstanding,20070328
100498,Good,20161018
100498,Requires Improvement,20140917
100498,Requires Improvement,20121205
100498,Satisfactory,20110628
100498,Good,20080627
100499,Good,20161116
100499,Requires Improvement,20141106
100499,Good,20110615
100499,Satisfactory,20071108
100500,Outstanding,20070606
100502,Outstanding,20131010
100502,Good,20090225
100502,Satisfactory,20060524
100503,Good,20130418
100503,Good,20100623
100503,Satisfactory,20070306
100504,Outstanding,20110927
100504,Good,20080930
100504,Good,20051018
100505,Good,20140306
100505,Satisfactory,20120711
100505,Outstanding,20080925
100516,Outstanding,20180306
100516,Good,20130514
100516,Outstanding,20070516
100518,Good,20180116
100518,Inadequate,20141202
100518,Good,20121205
100518,Good,20090610
100524,Good,20140319
100524,Good,20110303
100526,Inadequate,20170926
100526,Outstanding,20120306
100526,Good,20080422
100530,Outstanding,20180206
100530,Outstanding,20140520
100532,Inadequate,20180703
100532,Good,20131126
100532,Good,20100120
100532,Satisfactory,20070607
100534,Outstanding,20171031
100534,Outstanding,20080225
100536,Good,20181016
100537,Good,20180131
100537,Outstanding,20101201
100537,Good,20071115
100539,Good,20110927
100539,Good,20080514
100543,Good,20080129
100544,Outstanding,20170502
100544,Good,20131203
100544,Good,20101012
100544,Good,20080205
100545,Outstanding,20180228
100545,Good,20071107
100547,Good,20180626
100547,Good,20121128
100556,Requires Improvement,20141022
100556,Good,20100209
100556,Outstanding,20070328
100560,Outstanding,20070320
100564,Outstanding,20170704
100564,Good,20130613
100564,Good,20090619
100564,Good,20060518
100566,Good,20160517
100566,Requires Improvement,20140211
100566,Satisfactory,20120528
100566,Outstanding,20090626
100566,Good,20060627
100567,Outstanding,20140514
100567,Good,20090331
100567,Outstanding,20060502
100572,Outstanding,20120501
100572,Satisfactory,20080915
100574,Good,20190313
100574,Outstanding,20130312
100574,Outstanding,20090210
100574,Good,20060502
100576,Good,20141112
100576,Good,20101012
100576,Inadequate,20090630
100576,Satisfactory,20060612
100577,Outstanding,20130312
100577,Good,20100427
100577,Inadequate,20090225
100577,Good,20060118
100578,Good,20120306
100578,Good,20090709
100578,Satisfactory,20060612
100582,Requires Improvement,20190130
100582,Good,20150610
100582,Requires Improvement,20130625
100582,Outstanding,20080916
100582,Outstanding,20060126
100584,Outstanding,20081010
100585,Good,20110913
100585,Satisfactory,20090302
100585,Satisfactory,20060208
100586,Outstanding,20141105
100586,Good,20091203
100586,Good,20070215
100588,Outstanding,20120926
100588,Good,20100630
100588,Inadequate,20091006
100588,Satisfactory,20061129
100589,Good,20140924
100589,Good,20100526
100589,Good,20070328
100590,Good,20190514
100590,Outstanding,20131010
100590,Good,20100518
100590,Good,20070116
100591,Outstanding,20131107
100591,Good,20081022
100593,Good,20120222
100593,Satisfactory,20081125
100595,Good,20130305
100595,Inadequate,20120322
100595,Good,20081007
100597,Good,20191009
100597,Outstanding,20110111
100597,Good,20081127
100597,Inadequate,20071203
100598,Good,20140114
100598,Outstanding,20090611
100598,Outstanding,20060522
100601,Good,20160510
100601,Requires Improvement,20140227
100601,Good,20111103
100601,Satisfactory,20090427
100601,Satisfactory,20060706
100602,Good,20171114
100602,Good,20130417
100602,Good,20090311
100602,Good,20060515
100604,Outstanding,20161129
100604,Requires Improvement,20141118
100604,Good,20110125
100604,Good,20080521
100608,Good,20141104
100608,Outstanding,20080228
100609,Outstanding,20141209
100609,Outstanding,20090505
100609,Outstanding,20060629
100610,Good,20190605
100610,Requires Improvement,20161129
100610,Good,20120201
100610,Satisfactory,20081117
100610,Satisfactory,20060629
100611,Good,20111128
100611,Good,20090520
100611,Outstanding,20060710
100612,Outstanding,20090518
100612,Good,20060518
100613,Good,20190130
100613,Good,20140205
100613,Good,20090317
100613,Satisfactory,20060613
100614,Good,20160914
100614,Requires Improvement,20141209
100614,Outstanding,20080619
100615,Good,20190626
100615,Requires Improvement,20170314
100615,Good,20120131
100615,Satisfactory,20090623
100615,Satisfactory,20060620
100616,Outstanding,20080604
100617,Outstanding,20170302
100617,Good,20110920
100617,Good,20090325
100617,Good,20060608
100618,Good,20160210
100618,Requires Improvement,20131119
100618,Satisfactory,20120305
100618,Satisfactory,20090331
100618,Good,20060110
100619,Good,20190910
100619,Good,20151203
100619,Requires Improvement,20131112
100619,Good,20081202
100619,Satisfactory,20051130
100620,Good,20150421
100620,Inadequate,20130918
100620,Good,20111123
100620,Satisfactory,20090115
100621,Good,20190508
100621,Requires Improvement,20170124
100621,Good,20111107
100621,Satisfactory,20090119
100621,Good,20060525
100622,Good,20131126
100622,Satisfactory,20110914
100622,Satisfactory,20090129
100622,Good,20051206
100623,Good,20140715
100623,Good,20100526
100623,Good,20070322
100624,Good,20140910
100624,Good,20100317
100624,Good,20070613
100625,Outstanding,20130213
100625,Good,20080116
100627,Good,20181128
100627,Good,20150513
100627,Requires Improvement,20130522
100627,Good,20090922
100627,Good,20070321
100628,Good,20130912
100628,Satisfactory,20120206
100628,Good,20090611
100628,Good,20060628
100629,Good,20131120
100629,Good,20110518
100629,Good,20080429
100631,Good,20130702
100631,Good,20100111
100631,Good,20061128
100632,Outstanding,20140204
100632,Good,20090206
100632,Good,20060130
100633,Outstanding,20150630
100633,Good,20090921
100633,Satisfactory,20061115
100634,Outstanding,20170315
100634,Good,20120619
100634,Outstanding,20060926
100636,Outstanding,20141120
100636,Outstanding,20061128
100637,Outstanding,20130425
100637,Outstanding,20070606
100638,Outstanding,20141014
100638,Good,20120222
100638,Good,20061019
100640,Inadequate,20161018
100640,Good,20120119
100640,Good,20090114
100642,Requires Improvement,20190702
100642,Good,20150429
100642,Requires Improvement,20130502
100642,Satisfactory,20091111
100642,Good,20061123
100643,Outstanding,20180523
100643,Good,20140925
100643,Good,20120201
100643,Outstanding,20081015
100651,Good,20080205
100654,Good,20161101
100654,Good,20130605
100654,Inadequate,20120201
100654,Good,20080929
100654,Good,20051018
100659,Outstanding,20190226
100659,Good,20121127
100659,Good,20091006
100659,Good,20070116
100671,Good,20160706
100671,Requires Improvement,20140521
100671,Good,20100707
100671,Good,20070607
100672,Good,20111123
100672,Satisfactory,20090128
100672,Satisfactory,20061122
100672,Inadequate,20050921
100673,Good,20141209
100673,Outstanding,20100629
100673,Satisfactory,20070522
100674,Good,20190312
100674,Outstanding,20131126
100674,Satisfactory,20111011
100674,Inadequate,20101124
100674,Satisfactory,20080709
100675,Good,20121204
100675,Satisfactory,20091202
100675,Good,20061122
100676,Good,20120319
100676,Satisfactory,20090617
100676,Satisfactory,20060622
100677,Good,20190515
100677,Good,20140116
100677,Good,20090622
100677,Outstanding,20060620
100678,Good,20130703
100678,Satisfactory,20091126
100678,Satisfactory,20061018
100679,Outstanding,20160517
100679,Good,20110329
100679,Satisfactory,20080630
100680,Good,20140227
100680,Good,20100922
100680,Good,20080317
100681,Good,20120927
100681,Satisfactory,20101125
100681,Good,20080623
100683,Good,20150610
100683,Requires Improvement,20130626
100683,Good,20100316
100683,Satisfactory,20061130
100684,Outstanding,20190319
100684,Good,20121017
100684,Satisfactory,20091202
100684,Inadequate,20081008
100685,Good,20170516
100685,Outstanding,20100322
100685,Good,20070515
100686,Good,20171205
100686,Outstanding,20130122
100686,Satisfactory,20100323
100686,Good,20070109
100687,Outstanding,20111003
100687,Satisfactory,20081014
100688,Good,20171107
100688,Requires Improvement,20161206
100688,Good,20120424
100688,Outstanding,20070618
100689,Outstanding,20121121
100689,Good,20080130
100690,Good,20130711
100690,Good,20091202
100690,Good,20061207
100691,Good,20160426
100691,Good,20110201
100691,Good,20080521
100692,Good,20120530
100692,Good,20081118
100693,Outstanding,20130918
100693,Satisfactory,20110919
100693,Good,20090211
100693,Good,20060208
100695,Requires Improvement,20190312
100695,Outstanding,20150709
100695,Good,20100302
100695,Good,20061013
100696,Good,20160712
100696,Requires Improvement,20140226
100696,Good,20110125
100696,Satisfactory,20080610
100699,Requires Improvement,20181031
100699,Outstanding,20130704
100699,Good,20100609
100699,Inadequate,20090309
100699,Satisfactory,20060112
100700,Outstanding,20151208
100700,Good,20110328
100700,Satisfactory,20080605
100701,Good,20110913
100701,Good,20090629
100701,Satisfactory,20060301
100702,Requires Improvement,20171128
100702,Good,20130620
100702,Outstanding,20070313
100703,Good,20190328
100703,Good,20150707
100703,Good,20100519
100703,Satisfactory,20061212
100704,Good,20200204
100704,Good,20141112
100704,Good,20101208
100704,Good,20080109
100705,Outstanding,20080605
100707,Good,20140121
100707,Good,20090323
100708,Outstanding,20150708
100708,Good,20100427
